HTS,1,,,,,,,,,,,,,,,,
HDC,平成22年度,人口動態職業・産業別統計,,,,,,,,,,,,,,,
HD,７基礎人口　表３,15歳以上人口，職業（大分類）・都道府県（20大都市再掲）・性別,,,,,,,,,,,,,,,
,Table 3.,"Population of 15 years of age and over by occupation  (major groups), Japan, each prefecture and the 20 major cities, by sex, FY2010 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HT,都道府県 Prefecture,総　数　Total,就業者総数　Employed,,,,,,,,,,,,,無　職　Non-employed,不　詳　Not stated
,,,,Ａ　管理的職業従事者,Ｂ　専門的・技術的職業従事者,Ｃ　事務従事者,Ｄ　販売従事者,Ｅ　サービス職業従事者,Ｆ　保安職業従事者,Ｇ　農林漁業従事者,Ｈ　生産工程従事者,Ｉ　輸送・機械運転従事者,Ｊ　建設・採掘従事者,Ｋ　運搬・清掃・包装等従事者,Ｌ　分類不能の職業,,
HB,総　数 Total,,,,,,,,,,,,,,,,
HS,１８　福　　　井,328103,219596,9243,25907,24837,27418,13136,5672,10270,50585,13817,22083,12930,3698,98609,9898
HS,１９　山　　　梨,358357,233374,8577,28894,26875,27822,17997,6363,18150,49386,11195,20811,12853,4451,107205,17778
HS,２０　長　　　野,883401,607272,22711,72694,69334,71485,41230,11359,56334,129384,29510,50528,33205,19498,261255,14874
HS,２１　岐　　　阜,844211,566862,21164,65397,67041,71865,33933,14527,19408,139061,32127,50454,34125,17760,259617,17732
HS,２２　静　　　岡,1565709,1069060,36048,129423,120778,127136,66454,30460,46357,268167,64107,85865,67224,27041,459492,37157
HS,２３　愛　　　知,3091411,2119678,64459,268038,261042,287499,118677,45785,44133,517253,114375,139853,126630,131934,793634,178099
HS,２４　三　　　重,759788,501015,15652,54038,60946,52560,27725,13468,21259,130767,31143,39804,29018,24635,224438,34335
HS,２５　滋　　　賀,578391,385555,12350,52006,49220,44207,21782,9721,13568,98793,19044,25196,21339,18329,163303,29533
HS,２６　京　　　都,1075309,675256,23558,95878,81009,97424,53456,23687,17367,110365,35815,43533,37604,55560,317820,82233
HS,２７　大　　　阪,3614316,2137235,78767,281344,279496,356829,156461,52269,15118,352338,122288,150616,135620,156089,1068365,408716
HS,２８　兵　　　庫,2250271,1403899,51449,194374,194703,203497,91297,39708,34659,265433,78326,94681,81264,74508,687988,158384
HS,２９　奈　　　良,565296,342574,14965,52073,52569,56122,22752,10044,10783,54434,15762,22375,18328,12367,189601,33121
HS,３０　和　歌　山,404066,251970,8580,28851,30473,30474,17347,7311,24145,45014,15347,21937,15294,7197,135771,16325
HS,３１　鳥　　　取,239710,155178,5832,17849,17374,18291,9882,5738,15726,25237,8976,13536,8473,8264,75740,8792
HS,３２　島　　　根,294238,191097,7477,21489,22582,22158,12027,6304,18224,32093,11891,20996,10744,5112,92755,10386
HS,３３　岡　　　山,789251,501001,16651,57657,56720,63452,27023,11437,26940,111991,33167,41417,30034,24512,264789,23461
HS,３４　広　　　島,1168141,752934,26200,92546,92346,105976,45263,27715,26211,152834,49072,58067,42714,33990,337311,77896
HS,３５　山　　　口,584980,368872,13116,40995,42146,41237,19962,14048,22419,81729,27612,36195,21769,7644,197154,18954
HS,３６　徳　　　島,322172,189754,6995,23309,20060,22683,11944,5511,16821,36011,11277,17859,10479,6805,112614,19804
HS,３７　香　　　川,409270,256045,9893,29471,30987,36212,16200,7212,16242,51069,15903,20652,16306,5898,129959,23266
HS,３８　愛　　　媛,575096,358741,13312,41380,40335,44506,23003,8438,31862,67133,24162,33154,20829,10627,202031,14324
HS,３９　高　　　知,310024,176446,6765,20650,18198,21945,13019,5792,23388,23692,10988,17304,10025,4680,108324,25254
HS,４０　福　　　岡,2025563,1236772,44555,158914,151151,200503,84391,41709,38865,191809,86364,102313,72529,63669,645075,143716
HS,４１　佐　　　賀,335598,221401,7469,24882,24945,26768,13527,7059,22093,40608,14450,20579,12150,6871,109263,4934
HS,４２　長　　　崎,564258,355917,11892,41020,36502,40881,25287,19395,32855,56441,25543,34477,19646,11978,198799,9542
HS,４３　熊　　　本,722861,446986,15592,53160,47938,56885,31895,15013,49085,72330,28499,40937,24616,11036,239622,36253
HS,４４　大　　　分,481773,303511,11421,34700,34225,35607,19783,9950,24119,57772,20320,29078,16604,9932,166881,11381
HS,４５　宮　　　崎,450253,284458,10257,31531,29459,33542,19003,9964,34837,44058,18125,28298,14993,10391,153375,12420
HS,４６　鹿　児　島,676002,422087,13862,49003,48335,51789,30651,13208,47992,58812,28174,38893,24859,16509,231660,22255
HS,４７　沖　　　縄,553456,322064,11154,37803,35875,37261,29289,14139,21909,30068,23202,34455,19132,27777,186944,44448
HS,２０大都市（再掲）20 major cities (Regrouped),,,,,,,,,,,,,,,,
HS,５０　東京都区部,3807718,2285520,110479,398258,348062,358439,169549,48546,5125,189581,101251,103724,112247,340259,825276,696922
HS,５１　札　　　幌,779719,477785,19148,70190,68239,82211,37763,17147,2436,41052,32124,38556,25317,43602,239859,62075
